ID,Start Date,Water Depth,Water Depth Unit,U.S. State,Latitude,Longitude,Algae Value,Algae Unit,Biomass Value,Biomass Unit,Biomass/chlorophyll ratio Value,Biomass/chlorophyll ratio Unit,Chlorophyll Value,Chlorophyll Unit,Cladophora Value,Cladophora Unit,Cyanobacteria Value,Cyanobacteria Unit,Diatoms Value,Diatoms Unit,Macroinvertebrates Value,Macroinvertebrates Unit,Periphyton Value,Periphyton Unit,Phycocyanin Value,Phycocyanin Unit
1119USBR_WQX-04-A3844,9/13/2004,0.0,"",ID,43.9231167,-116.4427472,0.0,"",0.0,"",0.0,"",3.7,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-01-A6111,10/26/2001,1.0,m,ID,43.3583333,-115.4444444,0.0,"",0.0,"",0.0,"",2.3,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-00-A3105,7/13/2000,0.0,"",ID,44.6361111,-116.0677778,0.0,"",0.0,"",0.0,"",2.3,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
R10BUNKER-00400120,10/22/2003,0.0,"",ID,47.4133333,-116.7402778,0.0,"",0.0,"",0.0,"",2.3,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
BUNKER_USGS-00901258,8/3/2009,0.0,"",ID,47.4749,-115.9227,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-09-A21,1/12/2009,0.0,"",ID,43.9231167,-116.4427472,0.0,"",0.0,"",0.0,"",3.8,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-08-A3357,7/28/2008,9.0,m,ID,44.3148333,-115.6593333,0.0,"",0.0,"",0.0,"",15.7,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-14-A5493,10/14/2014,0.0,"",ID,44.29191,-115.64481,0.0,"",0.0,"",0.0,"",19.0,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
IDEQ_WQX-C-4-8/5/2001-10:30-chla,8/5/2001,0.0,"",ID,46.04165,-116.29017,0.0,"",0.0,"",0.0,"",126.57,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-14-A2803,7/7/2014,0.0,"",ID,43.9323,-116.3356,0.0,"",0.0,"",0.0,"",3.7,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
NARS_WQX-IDRF-0102:20140806:SR:,8/6/2014,0.0,"",ID,44.49182,-111.2855,0.0,"",0.0,"",0.0,"",1.296969697,ug/cm2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-12-A3530,5/31/2012,0.0,"",ID,42.78265,-112.87604,0.0,"",0.0,"",0.0,"",1.9,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-19-A333,4/17/2019,0.0,"",ID,42.78265,-112.87604,0.0,"",0.0,"",0.0,"",15.6,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-12-A5650,8/6/2012,0.0,"",ID,43.9231167,-116.4427472,0.0,"",0.0,"",0.0,"",5.3,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-01-A6147,10/29/2001,0.0,"",ID,43.5936861,-116.9103528,0.0,"",0.0,"",0.0,"",3.2,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-03-A545,3/17/2003,0.0,"",ID,44.0713889,-116.9325,0.0,"",0.0,"",0.0,"",17.2,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
UTAHDWQ_WQX-BRI091415-4906100-0915-4-A,9/15/2015,0.0,"",ID,42.02955,-111.92206,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-15-A3122,7/29/2015,0.0,"",ID,42.7813889,-112.875,0.0,"",0.0,"",0.0,"",26.8,mg/m3,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
1119USBR_WQX-10-A2629,7/1/2010,0.0,"",ID,44.29304,-115.656482,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
