ActivityIdentifier,ActivityStartDate,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode
11NPSWRD_WQX-CURE_NPS_BM03_19970519_606339,5/19/1997,,,38.4653333,-107.1611944,"Chlorophyll a, uncorrected for pheophytin",22.95,ug/L
11NPSWRD_WQX-CURE_NPS_BM19_19970519_606309,5/19/1997,,,38.4608333,-107.1645,"Chlorophyll a, uncorrected for pheophytin",16.35,ug/L
11NPSWRD_WQX-CURE_NPS_BM05_19970519_606344,5/19/1997,,,38.4735,-107.0933056,"Chlorophyll a, uncorrected for pheophytin",22.82,ug/L
11NPSWRD_WQX-CURE_NPS_BM04_19970519_606342,5/19/1997,,,38.4842778,-107.1001111,"Chlorophyll a, uncorrected for pheophytin",9.96,ug/L
11NPSWRD_WQX-CURE_NPS_BM18_19970519_604137,5/19/1997,,,38.4714722,-107.2875,"Chlorophyll a, uncorrected for pheophytin",8.97,ug/L
11NPSWRD_WQX-CURE_NPS_BM01_19970519_604134,5/19/1997,,,38.4459167,-107.2981111,"Chlorophyll a, uncorrected for pheophytin",16.75,ug/L
11NPSWRD_WQX-CURE_383103106594200199803161605^01,3/16/1998,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
21COL001_WQX-19994004001-19980914_S-IVP,9/14/1998,,,38.06644,-102.98724,"Chlorophyll a, corrected for pheophytin",15.8,ug/L
11NPSWRD_WQX-CURE_383103106594200199807202020^01,7/20/1998,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199806241230^01,6/24/1998,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
21COL001_WQX-19994002001-19980611_S-IVP,6/11/1998,,,38.06644,-102.98724,"Chlorophyll a, corrected for pheophytin",6.4,ug/L
11NPSWRD_WQX-CURE_383103106594200199806011720^01,6/1/1998,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199805131330^01,5/13/1998,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
21COL001_WQX-19994006001-19980922_S-IVP,9/22/1998,,,40.1055,-105.742,"Chlorophyll a, corrected for pheophytin",1.8,ug/L
11NPSWRD_WQX-BLCA_09128000199807211140^01,7/21/1998,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199809091340^01,9/9/1998,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199805221200^01,5/22/1998,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
21COL001_WQX-19994001001-19980611_S-IVP,6/11/1998,,,38.0674,-102.94363,"Chlorophyll a, corrected for pheophytin",3.8,ug/L
11NPSWRD_WQX-BLCA_09128000199805251445^01,5/25/1998,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199808251440^01,8/25/1998,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199805291000^01,5/29/1998,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199808270740^01,8/27/1998,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
21COL001_WQX-19994003001-19980914_S-IVP,9/14/1998,,,38.0674,-102.94363,"Chlorophyll a, corrected for pheophytin",9.5,ug/L
11NPSWRD_WQX-BLCA_09128000199805191300^01,5/19/1998,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
21COL001_WQX-19994005001-19980922_S-IVP,9/22/1998,,,40.1055,-105.742,"Chlorophyll a, corrected for pheophytin",1.4,ug/L
11NPSWRD_WQX-BLCA_09128000199809110920^01,9/11/1998,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199806051040^01,6/5/1998,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_09125000199905251200^01,5/25/1999,,,38.4877673,-107.415057,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_381633107054700199906010845^01,6/1/1999,,,38.27582757,-107.0969952,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_09125000199910141105^01,10/14/1999,,,38.4877673,-107.415057,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199912061500^01,12/6/1999,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_381934107133500199905311230^01,5/31/1999,,,38.32610537,-107.2269997,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382418107242600199908101115^01,8/10/1999,,,38.4049908,-107.4078353,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382702107203900199912081350,12/8/1999,,,38.45054696,-107.3447785,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-BLCA_09128000199904051320^01,4/5/1999,,,38.52915336,-107.648947,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_09127000199906031130^01,6/3/1999,,,38.44637698,-107.555614,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383103106594200199905260845^01,5/26/1999,,,38.51749077,-106.9956012,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_382720107324000199912091215^01,12/9/1999,,,38.45554358,-107.5450584,Floating algae mat - severity (choice list),NONE,
11NPSWRD_WQX-CURE_383137107183600199905251530^01,5/25/1999,,,38.52693624,-107.3106108,Floating algae mat - severity (choice list),NONE,
