ActivityIdentifier,ActivityStartDate,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode
UTAHDWQ_WQX-1997DATA-148045-9706804C,7/16/1997,0.1,m,42.10049,-111.29243,"Chlorophyll a, uncorrected for pheophytin",0.4,ug/L
UTAHDWQ_WQX-1997DATA-148024-9703440C,4/28/1997,,,42.12492,-111.92496,"Chlorophyll a, uncorrected for pheophytin",21.4,ug/L
UTAHDWQ_WQX-1997DATA-148016-9700085C,1/7/1997,,,42.12492,-111.92496,"Chlorophyll a, uncorrected for pheophytin",13.6,ug/L
UTAHDWQ_WQX-1997DATA-148046-9709798C,9/26/1997,0.1,m,42.10049,-111.29243,"Chlorophyll a, uncorrected for pheophytin",0.7,ug/L
UTAHDWQ_WQX-1997DATA-148044-9709796C,9/26/1997,0.1,m,42.06938,-111.33716,"Chlorophyll a, uncorrected for pheophytin",0.9,ug/L
UTAHDWQ_WQX-1997DATA-148043-9706810C,7/16/1997,1,m,42.06938,-111.33716,"Chlorophyll a, uncorrected for pheophytin",0.7,ug/L
UTAHDWQ_WQX-1997DATA-148030-9706561C,7/14/1997,,,42.12492,-111.92496,"Chlorophyll a, uncorrected for pheophytin",11.9,ug/L
UTAHDWQ_WQX-1997DATA-148036-9710033C,10/6/1997,,,42.12492,-111.92496,"Chlorophyll a, uncorrected for pheophytin",9,ug/L
UTAHDWQ_WQX-1998DATA-154371-9800177C,1/12/1998,,,42.12492,-111.92496,"Chlorophyll a, uncorrected for pheophytin",8.8,ug/L
UTAHDWQ_WQX-1998DATA-154378-9802823C,4/23/1998,,,42.12492,-111.92496,"Chlorophyll a, uncorrected for pheophytin",24.6,ug/L
UTAHDWQ_WQX-1998DATA-154384-9805641C,7/13/1998,,,42.12492,-111.92496,"Chlorophyll a, uncorrected for pheophytin",16.8,ug/L
1119USBR_WQX-99-A4979,10/26/1999,,,44.7876389,-116.0432222,Chlorophyll a,7.1,mg/m3
1119USBR_WQX-99-A1811,6/21/1999,,,44.62175,-116.0520833,Chlorophyll a,13,mg/m3
1119USBR_WQX-99-A3908,9/8/1999,1,m,44.5277778,-116.0541667,Chlorophyll a,7.4,mg/m3
1119USBR_WQX-99-A2983,7/28/1999,,,44.6364722,-116.0662778,Chlorophyll a,6.3,mg/m3
1119USBR_WQX-99-A1049,5/11/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,7.4,mg/m3
1119USBR_WQX-99-A501,3/31/1999,,,43.5919444,-115.9166667,Chlorophyll a,1.3,mg/m3
1119USBR_WQX-99-A5015,10/27/1999,,,44.6364722,-116.0662778,Chlorophyll a,8.4,mg/m3
1119USBR_WQX-99-A4181,9/21/1999,,,44.6374167,-116.1281111,Chlorophyll a,0.8,mg/m3
1119USBR_WQX-99-A3049,8/2/1999,1,m,43.62,-115.8211389,Chlorophyll a,0.7,mg/m3
1119USBR_WQX-99-A393,3/17/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,1.3,mg/m3
1119USBR_WQX-99-A4976,10/26/1999,,,44.6374167,-116.1281111,Chlorophyll a,1.3,mg/m3
1119USBR_WQX-99-A1805,6/21/1999,,,44.6364722,-116.0662778,Chlorophyll a,1.6,mg/m3
1119USBR_WQX-99-A5012,10/27/1999,,,44.6215556,-116.0499722,Chlorophyll a,5.3,mg/m3
1119USBR_WQX-99-A841,4/27/1999,,,44.6342778,-116.122,Chlorophyll a,2.3,mg/m3
1119USBR_WQX-99-A3674,8/25/1999,,,44.6391667,-116.1161667,Chlorophyll a,2.9,mg/m3
1119USBR_WQX-99-A3593,8/24/1999,,,44.6160556,-116.0670556,Chlorophyll a,4,mg/m3
1119USBR_WQX-99-A5764,12/21/1999,1,m,43.5919444,-115.9166667,Chlorophyll a,2.1,mg/m3
1119USBR_WQX-99-A4261,9/27/1999,,,44.6455556,-116.0716111,Chlorophyll a,6.4,mg/m3
1119USBR_WQX-99-A2982,7/28/1999,,,44.6375,-116.07625,Chlorophyll a,3.9,mg/m3
1119USBR_WQX-99-A3600,8/24/1999,,,44.6361111,-116.0677778,Chlorophyll a,4.2,mg/m3
UTAHDWQ_WQX-1999DATA-60901-199909925C,10/18/1999,0,m,42.10049,-111.29243,"Chlorophyll a, uncorrected for pheophytin",0.9,ug/L
1119USBR_WQX-99-A2697,7/20/1999,,,44.6374167,-116.1281111,Chlorophyll a,1.4,mg/m3
1119USBR_WQX-99-A3904,9/8/1999,1,m,44.6986111,-116.1055556,Chlorophyll a,12,mg/m3
1119USBR_WQX-99-A2696,7/20/1999,,,44.6391667,-116.1161667,Chlorophyll a,3.7,mg/m3
