ID,Start Date,Water Depth,Water Depth Unit,U.S. State,Latitude,Longitude,Algae Value,Algae Unit,Biomass Value,Biomass Unit,Biomass/chlorophyll ratio Value,Biomass/chlorophyll ratio Unit,Chlorophyll Value,Chlorophyll Unit,Cladophora Value,Cladophora Unit,Cyanobacteria Value,Cyanobacteria Unit,Diatoms Value,Diatoms Unit,Macroinvertebrates Value,Macroinvertebrates Unit,Periphyton Value,Periphyton Unit,Phycocyanin Value,Phycocyanin Unit
11NPSWRD_WQX-CURE_382829107122200200308141107^01,8/14/2003,1.0,m,CO,38.4747148,-107.2067198,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
11NPSWRD_WQX-CURE_382856107050000200703130905^03,3/13/2007,1.0,m,CO,38.4822137,-107.0839377,0.0,"",0.0,"",0.0,"",0.35,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20174REA001-20160810_S-IVP,8/10/2016,0.0,"",CO,39.032428,-107.949063,0.0,"",0.0,"",0.0,"",5.8,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20206005001-20190709-S-ROUTINE,7/9/2019,0.0,"",CO,38.003702,-106.655603,0.0,"",0.0,"",0.0,"",11.25479958,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
SOUTHUTE-Ignacio Creek 09/10/2014P,9/10/2014,0.0,"",CO,37.132807,-107.64866,0.0,"",0.0,"",0.0,"",1505.7,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-CHTLKND1201806111730004.5F,6/11/2018,4.5,m,CO,39.5542,-105.0608,0.0,"",0.0,"",0.0,"",0.046,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20164VGA001-20150818_S-IVP,8/18/2015,0.0,"",CO,39.22398,-107.80876,0.0,"",0.0,"",0.0,"",3.7,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
21COL001_WQX-20176004002-20160919-S-ROUTINE,9/19/2016,0.0,"",CO,39.727276,-106.130921,0.0,"",0.0,"",0.0,"",24.93615901,mg/m2,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-CHTLKMLW1201807161800001.0F,7/16/2018,1.0,m,CO,39.54375,-105.077,0.0,"",0.0,"",0.0,"",0.0388,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-CCRLKND1201806111500004.5F,6/11/2018,4.5,m,CO,39.64894,-104.8536,0.0,"",0.0,"",0.0,"",0.0266,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
