ID,Start Date,Water Depth,Water Depth Unit,U.S. State,Latitude,Longitude,Algae Value,Algae Unit,Biomass Value,Biomass Unit,Biomass/chlorophyll ratio Value,Biomass/chlorophyll ratio Unit,Chlorophyll Value,Chlorophyll Unit,Cladophora Value,Cladophora Unit,Cyanobacteria Value,Cyanobacteria Unit,Diatoms Value,Diatoms Unit,Macroinvertebrates Value,Macroinvertebrates Unit,Periphyton Value,Periphyton Unit,Phycocyanin Value,Phycocyanin Unit
CSKTRIBE-MSN-MBR04530310200813080,3/10/2008,0.487,m,MT,47.368889,-114.240278,0.0,"",0.0,"",0.0,"",0.0,mg/mL,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1805DW72517300020L,7/25/2007,2.0,m,MT,47.67997,-106.8796,0.0,"",0.0,"",0.0,"",3.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
NARS_WQX-QWCL:1578:1:070821:P,8/21/2007,0.0,"",MT,45.18292402,-104.9019583,0.0,"",0.0,"",0.0,"",23.36,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A72406500530F,7/24/2013,53.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0034,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772B70909100200F,7/9/2008,20.0,m,MT,48.005,-106.3744,0.0,"",0.0,"",0.0,"",2.28,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1772A201908280830058.0F,8/28/2019,58.0,m,MT,47.99533,-106.4239,0.0,"",0.0,"",0.0,"",0.0154,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
FORTPECK-BM-S-BM-016-20150625_0925-C,6/25/2015,0.0,"",MT,48.501389,-104.51055,0.0,"",0.0,"",0.0,"",42.0,ug/L,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1805DW92508200220F,9/25/2012,22.0,m,MT,47.67997,-106.8796,0.0,"",0.0,"",0.0,"",0.0126,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLK1805DW201806270930019.0F,6/27/2018,19.0,m,MT,47.67997,-106.8796,0.0,"",0.0,"",0.0,"",0.0456,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
COEOMAHA_WQX-FTPLKBDCA0251912500090F,5/19/2010,9.0,m,MT,47.74397,-106.2958,0.0,"",0.0,"",0.0,"",0.0097,volts,0.0,"",0.0,"",0.0,"",0.0,"",0.0,"",0.0,""
